,Question,Answer
177553,"
   اسالوني حتى لو بمجهول عزا
  ","
  3za 3la l yhood😐😯
  "
177554,"
   جملة انقالت الك وما انسيتهاش لهالحين 
#جماعي
  ","

   عيونك بستان ورد🌚💙
  
"
177555,"
   و انت بقى موهبتك ايه😉!
  ","

   صوتي حلو🌚☺💔
  
"
177556,"
   اه انتي. ولا اناا يعني.
  ","

   مرحبا
  
"
177557,"
   Follwed wrbna 💔😄
  ","

   اوكي☺
  
"
177558,"
   أشياء تضعف عندها ؟✨
  ","

   الاطفال👯
  
"
177559,"
   شي تتمناه يختفي من الوجود🌾؟
  ","

   الاكل🌚
  
"
177560,"
   لا تأخذوا القواعد من أفواه الغرباء ، الذين لم يعيشوا تجاربكم ، الجالسون خلف الشاشات وأنتم في معركة الحياة . 💙
صباح الخير 🌼
  ","

   صباح الخيرات
  
"
177561,"
   ومن ضمن الأشياء الحُلوه😴❤️؟
  ","

   الحب💙
  
"
177562,"
   -
  ","

   اول علامات الحب هي ان يشعر الرجل بالألم
   
   وكأن المرأة كسرت ضلعا من ضلوعه
  
"
177563,"
   مساحة
  ","

   رح نتلاقى ورح ضمك
   
   الدنيا صغيرة والله كريم😀💙
  
"
177564,"
   شو امتحانكم بكرا 
#اتحفوني
  ","

   عطلة☺
  
"
177565,"
   مسا الخير                                     مشروع الواحدً يعلمو يخفف الزهق            👏🏻👏🏻👏🏻👏🏻
  ","

   اختراع صواريخ نووية ☺
  
"
177566,"
   بمواقف صغيرة بتعرف مين سندك 
وبعصبية كبيرة بتعرف مين اللي قادر يتحملك 
وردود الأفعال بأصعب ظروف بتوريك مين يحبك 
وغيابك يقلك مين اشتاقلك..
💔💔
  ","
  💙🍃💙
  "
177567,"
   #حتى تگون #أسعد الناس:#امضِ گأنگ لم #تسمَع ، 
#واصمُت #گأنگ لمَ تفھَمْ،#وتجاهل گأنگ لم تَرى ، 
 #وانسى گأنگ مصاب #بالزهايمر ، #فبذلگ سَتَعيش #مرتاحاً 💗  <3
  ","
  🍃💙🍃
  "
177568,"
   يسعد مساكم ، مصطلح حيرني كثير ، ما هو تعريفك ل كلمه (النفسيه) ؟ وهل تستخدم في مجتمعنا بشكل صحيح ؟ وما الغاية منها ؟
  ","

   نفسية
   
   هاد الكلب الي بيتطلع على كلشي بنظرة تشائم
   
   وبياخد كلشي على محمل الجد وسلبي دائما
  
"
177569,"
   حواجبك ارتب من حياتي
  ","

   كيف حالك-،-
  
"
177570,"
   مااي ربي يسعدج #مساحة 😁😌
  ","
  Broken heart 💔
  "
177571,"
   صورة لحذائك المفضل
  ","
  ☺
  "
177572,"
   يا ريت يفهمو بس جلطوني
  ","
  😓
  "
177573,"
   عايشة بفلسطين ؟
  ","

   اه
  
"
177574,"
   يسعد.صباحكم جميعااا ....
 اخر فترا بحس  الناس بس ببعتلو لايكات ولايكات ..

الي بدو لايكات نعمل اتفاق كل يوم يعملي ونا راح اعملكم يووومي وما بقصر ما حدا ان شاء الله ...

وسلامتكم 😍😍
  ","

   هي اللايكات بتجيب مصاري🌚
   
   بتجيب؟؟
  
"
177575,"
   ؛|لنفترض هالرساله بتوصل لشخص المقصود، شبتكتب؟!😴💗💭؛||
  ","

   ينعن ابو شكلك ☺
  
"
177576,"
   _ 
مســاحة لك 💌 
ضع ما يروقُ لك  💙 .. أطلب طلب ، اقتراح ، اسأل سؤال ، طلب مساعدة  ، نصيحة ، دعوة 💌👋  ،، حدثني عن حال قلبك الآن 💙 ! 

ضع شيئآ ، باستثناء كلمة شيئآ  ✋😌
  ","

   شيئا باستثناء كلمة شيئا
   
   .
   
   .
   
   .
  
"
177577,"
   انا لو أشيل كلمة "" مش جاي علي بالي "" من راسي كان سويت انجازات لاتعد ولاتحصى بس مش جاي ع بالي  والله 🌚🐸
  ","

   ولا انا🌚🍃
  
"
177578,"
   مسآحة لأشي عَجبك بصفحتي 😁❤
و بطَريقك شوية لآيكآت إذا بتحب 😜
  ","

   أنآ قَهوَتُگ و آلموسيقى آلتي تُطرِبُگ و آلكتآب آلذي يُسعِدُگ عندمآ تَقرَأه 🌷
   
   أشربني ، إسمَعني و أقرأني ❤~`
  
"
177579,"
   لما يكون #نفسك بأشي، ضلك ادعي ربنا، ادعي و ادعي و ادعي😚😍  حتى لو ملّيتي، استمري بالدعاء👐😆  ربك بحب #العبد_اللحوح 😙😍
#ياااا_رب 😍🌸🍃
مساء الخير
  ","

   مسا الانوار
  
"
177580,"
   قبلَ أن تَقول : هَذه الحَياة لا تَستَقيمُ معي أنظُر لنفسَك رُبما أنتَ من يَمشي مَائلاً .. #مسائو
  ","

   🚶🚶اوك
  
"
177581,"
   تابعتك 
❤رديها
  ","

   نورت🍃💙
  
"
177582,"
   شو رأيكو بالشب الي بستغل البنت من الناحيه الماديه ومع العلم انه مو محتاج 😡😡
يا ريت كل واحد يعطيني رأيه حتى لو كان بده يتخوث 😒وكيف ممكن نتعامل مع هيك فئه 😐
  ","

   شب تافه والحق مش عليه الحق عهديك الهبلة🌚
  
"
177583,"
   في حكي #حلو .. بزرع بالقلب #ورد 🎵
وفي حكي بشع .. بزرع بالقلب الف وجع 💔
""وبما انو الحكي ببلاش مش بمصاري ✋
وبإمكانك تحكي الحكي الحلو بدل الحكي البشع ❤
جرب احكي حكي بزرع #امل و #فرح .. 😍
ما رح يتغير شي بالنسبة إلك .. بس بتغير كتير شغلات بالنسبة للي حواليك 👈💙✋

مسآآككم سعاادةة
  ","
  💙💙
  "
177584,"
   أستغفر الله العلي العظيم و أتوب إليه❤️
سبحان الله و بحمده سبحان الله العظيم🌴
  ","

   استغفرك ربي واتوب اليك
  
"
177585,"
   أبوس عيونج 😘💙
  ","

   اعشقج 😍😘
  
"
177586,"
   احكو عني 🙈🙈
اتحفوني 😅💔
  ","

   اسيل يا اسيل
   
   من احسن البنات  اللي عرفتهم ❤😍😘
  
"
177587,"
   اقتبِس شيئاً من متصفحي 🌸💙
  ","
  😳😳untic
  "
177588,"
   ؛|شخص مشهور ودكم تصورون وياه ؟⚜# chris brown ☹️💗🔥؛||
  ","

   اتصور مع حالي🌚😂
  
"
177589,"
   هاا 😳🌚
  ","
  😂😂😂Im sorry
  "
177590,"
   ؛|شخـص من روتينكـ اليومـي👅💗؟؛|
  ","

   هاذا 🌚حبيبي😁
  
"
177591,"
   اكتب آخر جملة وصلتك ع #الماسنجر 📩! 

#للجريئين👏
  ","

   نت امبورتنت☺
  
"
177592,"
   شو رأيك بشب هااظ 😒👇🏼
   
    @mhammd18
   
","

   معاق😹😹
  
"
177593,"
   هناك دائماً أمل يهمس لنا ... أن في الغيب شيءٌ جميل .. يستحق الأنتظار !*


صباح التفاؤل😍:$؛💛
  ","

   صباح النعنع🍃🌚
  
"
177594,"
   تولهت انا لصوتكً ولا من كياني صوت اعاتبكً ولا أعاتب الخط وإرساله ترى من سمع صوتك غدا حضه المبخوت 👏🏻👏🏻👏🏻👏🏻👏🏻❤️❤️
  ","

   ايوا ايوا
  
"
177595,"
   سألتك حبيبي لوين ريحين خلينا خلينا

يسعد صباحكم
  ","

   وازا كنا عطول التقينا عطول
   
   💚
  
"
177596,"
   ؛اخر فلم طالعتـوه 🙇📽؟؛
  ","

   ابسليوتلي فيبولس
  
"
177597,"
   ممكن لايكس بقاا وكدا 🌍🏁🚫✋
  ","

   اوامر تانية؟😝
  
"
177598,"
   🔻اغبــى شي سويته بحياتك شنو 🔹
وشستفاديت م̷ـــِْن هتجربه🔻💕🚶
  ","

   دخلت طب اسنان
   
   استفدت انو اخر مرة بدخل طب😂
  
"
177599,"
   يسعد مساكم متابعيني 
منشنو شخص صفحته حلوة اتابعو 
وشوكران
  ","

   @saranice77920
  
  سارة الحب 🌚
  
  احفضي هاللطش
  "
177600,"
   يسعد مساكم 
اعملولي لايكات
  ","

   اوامر تانية؟😝
  
"
177601,"
   بدي لايكات 🙈
  ","

   اوامر تانية؟😝
  
"
177602,"
   يا رب سترك وعفوك #ورضاك 
وخمس #سيارات وأرض ع البحر 😃
وفيلا في نيويورك وشاليه في أسبانيا و88 مليون #يورو 😁
وطيارة #خاصه??
وحسن #الخاتمه انا وكل من قال أمين 😎
  ","

   آمييين آميين آمين😂
  
"
177603,"
   نورولي القلوب آلحمرآا إلي بصفحتي ^^ $  ,, وأقتبسوآأ إآشي عجبكم <3
  ","

   تعبّت وأنا ماسك أعصابي متى تيجي و أمسك إيديك💙
  
"
177604,"
   اللهُم الثَبات يوم لا حَول لنا ولا قُوة. 💙
  ","

   اللهم امين
   
   فلا حول ولا قوة الا بالله💙
  
"
177605,"
   احكيلي عن اشي بخليك تحب الحياة .. ! 💙
  ","

   الحياة مليانة مغريات
   
   ولا تحكيلي ما في حد بحبها الكل بحبها من غير ليش
   
   .
   
   .
   
   .
   
   بس اكتر اشي بحبو ما بتخيل حياتي بدونو
   
   حياتي كلها ☺
  
"
177606,"
   صصباآح ا'آلخخير 💜 مسسآاححة'ة حلوة'ة مثل عيونكك' 😎✋
  ","
  And I don't know how?
  "
177607,"
   صورة ، اغنية ، اقتباس ، نص عزيز ، موسيقى ؟ 💙
  ","

   عيناكي كأوسلو لم تعطني شيء💙
  
"
177608,"
   يسعد صباحك
  ","

   صباح الورد
  
"
177609,"
   كلمةة مدمن عليهاا هااي الاياام 😌
  ","

   رح ارسب😢
  
"
177610,"
   Followed
  ","

   باك
  
"
177611,"
   خاطبوا الله في الخفاء ، فلن يرد الله قلباً أتاه يستظل برحمته من متاعب الحياه .☁️💜
#دعواتكم
#سورة الملك🌹
  ","
  💙💙
  "
177612,"
   الي بيشتااآق لحد شو بيعملل 💔🌹# جمااعي
  ","

   بيحاكيه
  
"
177613,"
   كيفك
  ","

   الحمدلله
   
   انت؟
  
"
177614,"
   What is your personal ability?
  ","
  I don't have😢
  "
177615,"
   أنت يلي تشوف #هالمنشور 🌸🌸
روح ربي يفك #ضيقتك ويهدي بالك ويريح #قلبك ❤

بس قول #يا_رب
  ","

   يا رب 💙
  
"
177616,"
   مولعه بالسودان
مسكو واحد أشقر

يسعد مساكو 😋
  ","

   انا خليني بالناموس اللي جاي على ضو الجوال
  
"
177617,"
   نحن أقوياء لا عليك من كلام المحبطين نحن نستيقظ صباحا في كل يوم لنعيش الحياه نفسها ومع نفس الاشخاص  هذا بحد ذاته كفاح
  ","

   بتزكر كفاح كانت تدرسنا فيزيا
  
"
177618,"
   اوكك 😑🐸
  ","
  👋👋👊
  "
177619,"
   انا بعمل مش انتي 😑😑😑😑
بعدين اعمليلي ريت عملت لايك تحت 😑🌚🌚🌚😂
  ","

   😂😂😂لا يا
   
   ما بدي انا عملت قبل 👊
  
"
177620,"
   Rate : بس تبطلي تقلدي بعملك 🌚
  ","

   احيون انسان عرفتو بحياتي😂
   
   اصلا بعرف 10 😍
   
   وها🌚🌚🌚🌚🌚🌚🌚
  
"
177621,"
   آخر صوره بـ / فونگم 📱،، بدون غش تره اجوفكم🌚👀.
  ","
  🌚😂
  "
177622,"
   الوقوف على قدميك يمنحك فسحة من الارض
؛
لكن الوقوف على مبادئك يمنحك العالم كله
  ","

   حسب المبادئ ☺
  
"
177623,"
   مسآاحة 🌹
  ","

   تشش تبرد القلب 😅
  
"
177624,"
   مسآاحةة <3
  ","

   ما كانت النية أحب بس عُيونك تجبر التايب يميل.💚
  
"
177625,"
   #مشاكل_الجامعات_العراقية
#قرارات_فرض_الزي_الرسمي
#ليش_قميص_ابيض
#كعب_عالي_انمنع_يعني_القصيرات_ضاعو

ليش عود محد يحب النظام
  ","

   منعو الكعب عندكم
   
   يا ساتر😂
  
"
177626,"
   @'شخص تحب تآخذ رآيه وتستشيره في كل شي💛؟.
  ","

   @saranice77920
  
  استشارات متبادلة ههه
  "
177627,"
   يعني تحيةة كبيرة لهل الشباب يلي ما بردو علي السلام الا اذا اكنت في بنت بالشارع عشان يعجقوا قدامها انو الهم معارف ..هههه يا سلام : ( ولكم اخخخ بس
  ","

   ههههه
  
"
177628,"
   مساء الخبر
  ","

   مسا النور
  
"
177629,"
   Space🚶.
  ","

   ومن الحب ما قتل😅
  
"
177630,"
   الجلوس وحيداً .. ليست كما يدعون
نفسيه .....
هي غالباً ما تكون ارتقاء بالذات والابتعاد عن نفاق البشر
  ","

   نعم صحيح
  
"
177631,"
   يغآر آلقبيح من فتنة آلجميل ،، ويغآر آلجميل من حظ آلقبيح

وأنآ برآ آلموضوع لآ حظ ولآ جمآل🐸
  ","

   وانا برا برا برا
  
"
177632,"
   صار عندي فصول اعرف ايش صار بالجامعه ههههه
ردِ بسؤال :$
  ","

   بحكيلك مو أنا اللي بعتت 😐
  
"
177633,"
   بدك اليوزر ؟ ههههه
منتي سألتيني ايش صاير بالجامعه
و ما بتعرفي مين انا :/
  ","
  Mo 2na ille s2lt
  
  Le$ meen ent
  "
177634,"
   ايش ؟ههههه
  ","

   يوزر
  
"
177635,"
   ليش شو صار ؟
  ","
  Untic?
  "
177636,"
   Like =rate?
  ","
  Ok
  
  Nt 4 ol
  "
177637,"
   -
  ","
  No one 💔
  "
177638,"
   متابعك
  ","
  Wlc
  "
177639,"
   دووومً
  ","
  😀💛
  "
177640,"
   مسااء الجوع
  ","

   ههههه
  
"
177641,"
   مسا الخير ❤️❤️
  ","

   مساء الانوار
  
"
177642,"
   _
  ","

   ما لفت انتباهي غير ابدل ملابسي ونذهب
   
   هي الناس اللي بتفهم يزم🌚
  
"
177643,"
   بتعرفي نور دراغمة ؟
  ","

   اه ليش
  
"
177644,"
   "" الزعل معكم' أحلآ منٰ الضِحكة مٓع غِيرگم 💚✋

يله ابتسمو جماعي 😊
  ","
  🌚☺
  "
177645,"
   با يا عند المرايه لعاد
  ","

   😂اكزاكتلي🌚
  
"
177646,"
   ليصمت الجميع !!
وتاملوا القمر ما تفعل روعته بمشاعر البشر <3
  ","

   هيني عند المراي🌚
  
"
177647,"
   ليس من الضروري أن تكون الذكريات
#مؤلمة حتى #تبكينا أحيانآ تكون 
#بكاؤنا أشتياقآ #لأصحابها
^_*
#مساء_الخير
  ","

   مساء النور
  
"
177648,"
   وسلاماً على كُل إنسان جَبار عِرف ينهي علاقه أتعبت قلبه، وعرف قيمة نفسه، وعرف يفصل بين شعور قلبه وقرار عقله ✋✋
  ","

   وعليكم السلام
  
"
177649,"
   - الـ تدري بي يستآحشك فارگتةة ليش ؟

مساحه✅
  ","

   والله مادري
   
   .
   
   .
   
   .
  
"
177650,"
   تآبعتككك
  ","
  Back☺
  "
177651,"

    @lolomoussa1
   
   حبيبة ليث علي الحقيقية والله
  ","

   مالي ومالهم
   
   مين هدول اصلا
  
"
177652,"
   ازيك
  ","

   فل اوبشن
  
"
177653,"
   تابعتك
  ","

   اوك باك
  
"
177654,"
   ؛|تراقبـون أشخاص كنتو تحبونهم؟😴💙؛|
  ","
  Yes
  "
177655,"
   هنيئاً لِ مدينه أنتِ جُزءً مِن مسائُها ، و مسائي أنتِ أينما كُنتِ !* 💙
  ","

   اوه ماي الله
   
   يسعد مساك😀
  
"
177656,"
   ما بتتخيلي كمية الامل اللي اعطيتيني اياها 😂✋
  ","

   😂😂تعالي كل يوم😂
  
"
177657,"
   ابعتولي اشياء مفرحه بتعطي الواحد امل وبتمنعه من الانتحار 😌💅 شنو مكؤوبه 🙇🙇
  ","

   ما في
   
   روحي انتحري موتي
  
"
177658,"
   ع الفصل التاني حكولي ازا بدك ترجعي💔 
هسا ما بزبط😔
  ","

   حيوانة لأنك
   
   يعني ايش خطرلك لتروحي 😐
  
"
177659,"
   First Like = احلا شي فيه
  ","

   اوك للكل بردو☺😁
  
"
177660,"
   انا علا 😂😂😂💔💔
  ","
  😸😽😹
  "
177661,"
   يسعدلي جمالك ميوش 
حياتي اشتقتلك 🙈🙉🌹🌹
  ","

   حياااتي علوش حلاة عيونك
   
   وانا اشتقتلك بالاكتر 😘😘😍
  
"
177662,"
   والله ازا واصل للذنين ف رح تتشحبري يا مسخمه
  ","

   ههههههه
  
"
177663,"
   ياخي هسا الجرادات كلهم حلوين متلك ؟! 😹🙈
  ","

   ياخي كلنا حلوين 😉😝
  
"
177664,"
   مساؤك سيدتي ...؟؟

كل مساء لا يعرف حروف اسمك هو مساء أميّ
كل مساء لا يتكحلّ بنور وجهكِ هو مساء غبيّ
كل مساء لا يصلي في عينيك هو مساء جاهليّ

مساؤك تمردّ تطرفّ ليس فيه حلول وسط
مساؤك معركة شوق أنا أرسم فيها كل الخطط
مساؤك حروف عاشقة وأنا أضع فيها كل النقط

المساء الذي لا يعرف طريق شفاهك مساء أحمق❤
  ","

   اوووه جماعي اه😅مساك
  
"
177665,"
   كان الله بعون كحل امضى ليله في جفنيك ❤
  ","

   ليش شو بصيرلو😁
  
"
177666,"
   عيونك زي آلورد آلي بدو يشووفههآآ بيآخد نفسس عمييق ❤
  ","

   يا عيني يا عيني 😁😁
  
"
177667,"
   صباح الخير 🙂🌸
  ","

   صباح الورد
  
"
177668,"
   في السعوديه واحد اسمه "" جامع فلاح المطيري "" تسع سنين لم يدفع كهرباء راجع الشركة و تبين ان اسمه محول على وزاره الاوقاف وهي بتسدد فواتيره
على اعتبار انه مسجد
ههههههههههههههههههههههه
  ","
  😂😂😂😂
  "
177669,"
   محاضرات يوم السبت لا دين لها 😭😭😭😭
ميين زيي 👌👌😢😢
  ","

   انا 😔😔
  
"
177670,"
   ليه انتي احلى من حيااتي.
  ","

   أنا 😳
  
"
177671,"
   Like = tbh & bf 

Tbh : ما بعرفك كتير مبينة طيبة .. وموفقه بحياتك ان شالله :)

Bf: وساع عيونك 👀
  ","

   ثانكس 💙موفق انت كمان☺
  
"
177672,"
   ههههه ااه .. ايام الهنا بالبيتزا هاوس وكزا 😛  يلا منيح چود لااك 💙🌸
  ","

   هههههه
   
   فور يو تو بيبي 😍😘
  
"
177673,"
   نفسي اشوف حدا منكم يا ٢١٦ 👅 للامانة شفت بنتين وشب فقط لا غير ، بحسش بوجودكم ليش ؟؟
  ","

   هههه واللهي احنا طول نهارنا مع بعض يا بالآداب يا بالبيتزا هاوس😅
  
"
177674,"
   شو في تلاكم اسم تاني لجامعتنا بناسبها اكتر من اسمها الحالي ؟
  ","

   الجامعة التجارية لفيتامين واو ☺
  
"
177675,"
   يور نيك نيم از = ماي اونلي لوف 💙💙
  ","

   اووه هيآاتم سيني تشوك تشوك سيفيورم 😍😘
   
   آند يو آر جينيم 😜
  
"
177676,"
   هسا يا صاروخ دنقلع 😂 
فرصة سعيده ياختي ❤
  ","

   هههههه احرجتيني
   
   مع السلامة
   
   انا اسعد 😘
  
"
177677,"
   لا هو 
مزنخك
مش زاكي اصلا 😂😂😂😂
  ","

   بعرف😂
  
"
177678,"
   😂😂😂 مزكاكي يااخي ❤
  ","

   انا والا هو 😝
   
   تسلمي تسلمي😂
  
"
177679,"
   الدراسة مثل الدهان بدها اكثر من وجه لتلزق بمخگ ، وطبعاً حسب الحيط. 💔😂
  ","

   حيطي مكسر😅
  
"
177680,"
   ممممم صحة 😊
  ","

   عقلبك😀
  
"
177681,"
   اه يختي هيك بتجنني 😂
محسنني
  ","

   حياتي ههههه
  
"
177682,"
   بس هسا احكيلي 
مين الحلو اللي وراكي ؟ 😂😂
  ","

   الله يجبرك😂
   
   هاد زميلي😅
  
"
177683,"
   شووو طابخين اليوم😉😉
  ","

   مسخن😄
  
"
177684,"
   وين راحت صورتك يختي ؟
  ","

   هيوتها😂
  
"
177685,"
   وجهة نظر.
للنقاش مع او ضد✅
المرأه كائن مزعج ..
والرجل كائن يستحق الازعاج ...😂
  ","

   الاولى لا بس التانية اه👌
  
"
177686,"
   #جُـمْعَـةة_مُـبَـارَگةة  ✋✋
مسااحةة
  ","

   جمعة مباركة 🌸
  
"
177687,"
   هههههههههههه سلام يختي ✋
  ","

   يا مية هلا😝
  
"
177688,"
   يوماً ما😊
وحين تتركون أشياء من أجل الله وحده
فقط إبتغاء لرضاه سبحانه
كونوا على يقين أن الله سيمنحكم عوضاً أجمل
أجمل بكثير💙
الحمدلله على صباح يأتي ونحن بكامل عافيتنا
ومساء يأتي ونحن بكامل قوتنا
مي💙
يارب اكتب لها الخير والسعادة والتوفيق
يا رب أرح قلبها وحقق لها كل ما تتمنى
جمعتك طيبه كطيب قلبك❤
  ","

   نآادر يسعدك ويسعد قلبك😀
   
   جمعة مباركة💙
  
"
177689,"
   انداري
  ","
  🙅
  "
177690,"
   بتخاف من بكره ليه؟
  ","
  Ma b5af 🙆
  "
177691,"
   حد يسأل أى حاجه✋
  ","
  How R U?
  "
177692,"
   يآا جمآاعة 😍😍
تطبيقات بتنصحوني أنزلها عندي 😘😘
بليز .🌸🌸🌸
  ","

   يعني؟ لشو
  
"
177693,"
   ههههههه ليش فسدت مزاجك
  ","

   انداري
  
"
177694,"
   يسعد صباحك .. جمعتك مباركةة 🍃🌸
  ","

   جمعة مباركة😀
  
"
177695,"
   يسعد صباحكم 
جمعة طيبة
  ","

   جمعتك أبرك
  
"
177696,"
   -🌚
  ","

   هفت 😐
  
"
177697,"
   كيف نيأس 💙💪!
وَربّي يقوُل : { وَلا تيأسُوا مِن رُوح الله } .. !#جمعة_مباركة ❤🙈☆▪○°
#صباح_الخير 💜🌹☆•○°
  ","

   جمعتك أبرك💙
  
"
177698,"
   - جمعةة مباركةةة ❤
  ","

   علينا وعليك
  
"
177699,"
   ضَع ماْ شِئْت 💌❤
  ","

   شوي بس 😀😁
  
"
177700,"
   جمعةة'ة مباركةة'ة〰〰❣❣
  ","

   علينا وعليك
  
"
177701,"
   جمعه مباركة ياقوم 😍
ربي يسعد اوقاتكم .. ويرزق كل واحد يلي بباله 💗
لايكاتكم 🙈
  ","

   جمعة مباركة
  
"
177702,"
   مَساحةْ |=|
  ","

   كأنك كنت جنبي لليوم
  
"
177703,"
   عربي احكي
  ","

   مخربش بالنمرة
  
"
177704,"
   اه حصتي
  ","
  ??m5rbi6 k2no
  "
177705,"
   بتعْرفوا گَسرِة الخاطِر ؟!
ھاي يَليْ بتْيجي مِنْ إِنسان إنتْا بِتحبو ❤😔
الله لا يذَوقْها لَحدا ، لأنْها بِتوَجِعْ لسابِع سماْ 😢😢
  ","
  😔😓
  "
177706,"
   - مفيش ولد بيحكى اسرارة لبنت الا لما يكون بيحبها و واثق فيها..💗🌸
  ","

   مممم
  
"
177707,"
   جمعة مباارکة ❤ 
كلها اكل 😌✋
  ","

   هههه جمعتكك ابرك
  
"
177708,"
   لا حَدْا يعَودنيْ قُربُه 
و بَعدْها يختْفي فَجأة .. 
تَرْى في شيْ إسمْو قَلب 💓
#بيوَجِعْ 😔💔
  ","
  💔
  "
177709,"
   دعوة من قلبك 😊....
  ","

   الله يوفقك
  
"
177710,"
   ضع كذبة مستحيل تتصدق  ؟ 
😂😂
  ","

   حرام😋😝
  
"
177711,"
   ولكن الله أحن،
أحن دائما عليك من كل جرح وتعب 💙 ' 
جمعةة مبآركة 🌼 .
  ","

   ونعم بالله
   
   جمعتك ابرك 😁
  
"
177712,"
   حدثنوني عن أحلامكم بكم كلمة .....!❤
  ","

   هي أحلامي رحلت منها الحاء وتركت لي الباقي
  
"
177713,"
   ههههه حكيك صحيح 😂😂
  ","
  👌✌
  "
177714,"
   يِّأّ لَيِّلَةّ أّلَجّـمًعٌهّ،أّحًمًلَيِّ مًأّ بًقُلَوٌبًنِأّ لَلَسِـمًأّء...
B.N.J
  ","
  👐👐
  "
177715,"
   كلمة بتوجهيها لهيك توقيت 😂😂
  ","
  I miss my chicken 😔😔
  "
177716,"
   يبدو ذلك من اجاباتك ،، وربما أكون مخطئا :)
البيو غير مفهوم :)
  ","

   اها لا ابدا مو متشائمة بالعكس متفائلة
   
   بس انو بعطي الاشي حجمو ما بعطيه اكبر من هيك
   
   ووو البيو مجرد كتابات راقت لي 😁
  
"
177717,"
   هل انت متشائمة؟
  ","

   لا ليش😔
  
"
177718,"
   مساحة 🌷
  ","

   وابلغ ما قيل في الهرب :
   
   أهرب منك إليك !
  
"
177719,"
   مساء النفوس الراقية
  ","

   مساك
  
"
177720,"
   ما هو أول شيء يلفث نظرك في الجنس الآخر؟
  ","

   مش ملفت الجنس كلو
  
"
177721,"
   اعذروني متضايق شوي حبيبتي طلع رقيب في أمن الطرق ..
  ","
  ؟؟
  "
177722,"
   صلي علي النبي 🌹🌹🌹
  ","

   عليه الصلاة والسلام
  
"
177723,"
   Last massage 💆🏻
  ","
  🙀
  "
177724,"
   Mabrook ;)
  ","
  Ybark feek😏😓
  "
177725,"
   R U in love 😍
  ","
  Yub 😉
  "
177726,"
   🌸🍃
  ","

   حفضا لكرامتك 😝😋
  
"
177727,"
   ""كيف تخاف الفقر وأنت عبد الغني"" :) !
  ","

   ونعم بالله
  
"
177728,"
   عزيزتي الفتاة :
تزوجي رجل  يصونك ..
مش طنط يلبس فيزونك
  ","

   حاضر
  
"
177729,"
   رحلة لَ ألمانيا من يريد 🙂
  ","

   انا🏃🏃
  
"
177730,"
   يو آر ذا بست ون 💙
متش لف 😍
  ","

   حصتي من هالحياة😁😘
  
"
177731,"
   ؛|لو بيدك ترجع الزمن لورى وتبتدي من جديد،، وين بترجعه وليش؟👀✨؟؛|
  ","

   لقبل 4 سنين بس
  
"
177732,"
   ~☆~
  ","

   لست أدري كيف خان
  
"
177733,"
   موضوع للنقاش 😊☺- كيف ممكن الشب يثبت للبنت انه بحبها ؟ -  و كيف ممكن البنت تثبت للشب أنها بتحبه ؟
  ","

   مش محتاج اثبات
   
   الحب مو فعل
   
   الحب شعور😀
  
"
177734,"
   ؛|من تجاربكم الفاشلة🌝🚶🏻؟؛||
  ","

   دخلت الجامعة🌚
  
"
177735,"
   تابعتك
  ","

   بادلتك
  
"
177736,"
   تضيق طُرق البشر ، لكن طريق الله يتسع للجميع ❤
  ","

   ونعم بالله😀😃
  
"
177737,"
   شو مواهبك الي محد مقدرها؟
  ","

   حتى انا مو مقدرتهم والله😅
  
"
177738,"
   شنو ناقصك بهاي الحياة؟😐
  ","

   الحمدلله 😁
  
"
177739,"
   〰❣
  ","
  💔🙀😿
  "
177740,"
   -مسآآحة زنخة :$':"" 🐸
  ","

   سلام يا حدآ
  
"
177741,"
   لقيت عاليوتيوب فيديو عنوانه (دعاء يجلب الحظ) .. 
وانا بقرأ فيه راحت الشبكة
  ","

   له له له
   
   متل شنصي😁
  
"
177742,"
   اللهم خيرًا في كل اختيار ؛
ونورًا في كل عتمة *،
 وتيسيرًا لكل عسير !*
وواقعًا لكل مَا نتمنى ..🌸

أسعد الله صباحكم بكل خير وبركة ..💛
  ","

   آميين💙
  
"
177743,"
   -
  ","

   ازا ما عليك امر😅
  
"
177744,"
   ثلاثة اشياء توقف القلب 😞
- بحبگ ❤
- ما عاد بدي ياگ 😢

- يرجى اعادة ادخال كلمة السر 💔
الأخيرة بتجلط 😌✌😂
  ","

   يس😅
  
"
177745,"
   Status 🌸🌱
  ","

   القمامة ليس بالضرورة ان تكون اكياس فقد تكون على شكل اشخاص😀
  
"
177746,"
   إمرأة بريطانيا تطلب الطلاق
ﻷن زوجها يقوم بالضغط على معجون الأسنان من الوسط
تقول :انه لايعرف الإتكيت >>

يابنت الناس استهدي بالله واحمدي ربك بنظف اسنانه 
عنا ناس اذا ابتسمت بنشوف العشاء تبع اول مبارح
😂😂😂😂😂😂😂😂😂 
صباحكم ابتسامة 🌹
  ","
  Morning☺
  "
177747,"
   ايه الى ممكن يعصبك  ؟
  ","

   انو اللي بحكي معو ما يكون فاهمني💔
  
"
